Date,Open,High,Low,Close,Adj Close,Volume
,4.695,4.825,4.494999999999999,4.72,4.72,3102700
,4.6525,4.8475,4.4624999999999995,4.765,4.765,3468550
2020-08-18,4.61,4.87,4.43,4.81,4.81,3834400
,4.657500000000001,4.862500000000001,4.4825,4.7875,4.7875,3528950
,4.705,4.855,4.535,4.765,4.765,3223500
,4.7524999999999995,4.8475,4.5875,4.7425,4.7425,2918050
2020-08-19,4.8,4.84,4.64,4.72,4.72,2612600
,4.755,4.8,4.6075,4.6925,4.6925,2569750
,4.71,4.76,4.574999999999999,4.665,4.665,2526900
,4.665,4.72,4.5424999999999995,4.6375,4.6375,2484050
2020-08-20,4.62,4.68,4.51,4.61,4.61,2441200
,4.615,4.91,4.5325,4.715,4.715,4491550
,4.609999999999999,5.14,4.555,4.82,4.82,6541900
,4.6049999999999995,5.369999999999999,4.5775,4.925000000000001,4.925000000000001,8592250
2020-08-21,4.6,5.6,4.6,5.03,5.03,10642600
,4.725,5.4825,4.59,4.99,4.99,9128300
,4.85,5.365,4.58,4.95,4.95,7614000
,4.975,5.2475000000000005,4.57,4.91,4.91,6099700
2020-08-24,5.1,5.13,4.56,4.87,4.87,4585400
,5.045,5.16,4.64,4.897500000000001,4.897500000000001,4188725
,4.99,5.1899999999999995,4.72,4.925000000000001,4.925000000000001,3792050
,4.9350000000000005,5.22,4.8,4.952500000000001,4.952500000000001,3395375
2020-08-25,4.88,5.25,4.88,4.98,4.98,2998700
,4.9025,5.2425,4.890000000000001,5.0125,5.0125,2943950
,4.925,5.234999999999999,4.9,5.045,5.045,2889200
,4.9475,5.227499999999999,4.91,5.077500000000001,5.077500000000001,2834450
2020-08-26,4.97,5.22,4.92,5.11,5.11,2779700
,5.005,5.26,4.945,5.145,5.145,2930875
,5.04,5.3,4.97,5.18,5.18,3082050
,5.075,5.34,4.994999999999999,5.215,5.215,3233225
2020-08-27,5.11,5.38,5.02,5.25,5.25,3384400
,5.157500000000001,5.4275,5.069999999999999,5.285,5.285,3597525
,5.205,5.475,5.119999999999999,5.32,5.32,3810650
,5.2524999999999995,5.5225,5.17,5.355,5.355,4023775
2020-08-28,5.3,5.57,5.22,5.39,5.39,4236900
,5.4175,5.965,5.3375,5.7125,5.7125,12671675
,5.535,6.36,5.455,6.035,6.035,21106450
