,Date,Open,High,Low,Close,Adj Close,Volume
102,2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200
103,2020-11-30,18.17,19.42,16.559999,16.559999,16.559999,31983500
104,2020-12-01,17.110001,17.4,15.76,15.8,15.8,12653900
105,2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400
106,2020-12-03,16.48,16.639999,15.87,16.120001,16.120001,6295000
107,2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700
108,2020-12-07,17.0,17.5,16.219999,16.35,16.35,7386300
109,2020-12-08,16.370001,17.209999,15.93,16.940001,16.940001,16120200
110,2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900
111,2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900
112,2020-12-11,13.91,14.0,13.02,13.31,13.31,7496900
113,2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100
114,2020-12-15,12.78,14.02,12.48,13.85,13.85,8189800
115,2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100
116,2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900
117,2020-12-18,15.78,16.299999,15.18,15.63,15.63,16618800
118,2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100
119,2020-12-22,16.219999,20.040001,16.15,19.459999,19.459999,30652700
120,2020-12-23,20.17,22.35,19.129999,20.57,20.57,25830300
121,2020-12-24,21.01,21.48,19.950001,20.15,20.15,6262200
122,2020-12-28,21.309999,21.969999,20.35,20.99,20.99,8965900
123,2020-12-29,20.82,21.07,18.559999,19.379999,19.379999,9241400
124,2020-12-30,19.379999,20.0,18.85,19.26,19.26,5934400
125,2020-12-31,19.25,19.799999,18.799999,18.84,18.84,6922700
126,2021-01-04,19.0,19.1,17.15,17.25,17.25,10022500
127,2021-01-05,17.35,18.08,17.23,17.370001,17.370001,4961500
128,2021-01-06,17.34,18.98,17.33,18.360001,18.360001,6056200
129,2021-01-07,18.469999,19.450001,18.02,18.08,18.08,6129300
130,2021-01-08,18.18,18.299999,17.08,17.690001,17.690001,6482000
131,2021-01-11,19.41,20.65,19.01,19.940001,19.940001,14908000
132,2021-01-12,19.959999,20.4,19.32,19.950001,19.950001,7060700
133,2021-01-13,20.42,38.650002,20.030001,31.4,31.4,144501700
134,2021-01-14,38.09,43.060001,33.049999,39.91,39.91,93717400
135,2021-01-15,38.490002,40.75,34.009998,35.5,35.5,46866400
136,2021-01-19,41.549999,45.52,36.639999,39.360001,39.360001,74721900
137,2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
138,2021-01-21,39.23,44.75,37.0,43.029999,43.029999,56216900
139,2021-01-22,42.59,76.760002,42.32,65.010002,65.010002,197157900
140,2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
141,2021-01-26,88.559998,150.0,80.199997,147.979996,147.979996,178588000
142,2021-01-27,354.829987,380.0,249.0,347.51001,347.51001,93396700
143,2021-01-28,265.0,483.0,112.25,193.600006,193.600006,58815800
144,2021-01-29,379.709991,413.980011,250.0,325.0,325.0,50566100
145,2021-02-01,316.559998,322.0,212.0,225.0,225.0,37382200
146,2021-02-02,140.759995,158.0,74.220001,90.0,90.0,78183100
147,2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500
148,2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300
149,2021-02-05,54.040001,95.0,51.09,63.77,63.77,81345000
150,2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300
151,2021-02-09,56.610001,57.0,46.52,50.310001,50.310001,26843100
152,2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000
153,2021-02-11,50.009998,55.32,48.220001,51.099998,51.099998,13056700
154,2021-02-12,50.75,55.240002,48.049999,52.400002,52.400002,14573300
155,2021-02-16,52.66,53.5,49.040001,49.509998,49.509998,8175000
156,2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800
157,2021-02-18,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
158,2021-02-19,41.279999,43.889999,38.5,40.59,40.59,14828200
159,2021-02-22,46.689999,48.509998,42.400002,46.0,46.0,19476000
160,2021-02-23,44.970001,46.23,40.0,44.970001,44.970001,7565200
161,2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
162,2021-02-25,169.559998,184.679993,101.0,108.730003,108.730003,150308800
163,2021-02-26,117.459999,142.899994,86.0,101.739998,101.739998,92194200
164,2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49794000
165,2021-03-02,116.93,133.199997,112.199997,118.18,118.18,33783000
166,2021-03-03,122.510002,127.75,113.120003,124.18,124.18,19273900
167,2021-03-04,125.0,147.869995,115.300003,132.350006,132.350006,32606900
168,2021-03-05,128.169998,151.529999,127.5,137.740005,137.740005,30733700
169,2021-03-08,154.889999,210.869995,146.100006,194.5,194.5,63565600
170,2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,39099300
171,2021-03-10,269.429993,348.5,172.0,265.0,265.0,71570600
172,2021-03-11,241.639999,281.5,232.600006,260.0,260.0,28312500
173,2021-03-12,275.0,295.5,262.269989,264.5,264.5,25845900
174,2021-03-15,277.519989,283.0,206.0,220.139999,220.139999,24100400
175,2021-03-16,203.160004,220.699997,172.350006,208.169998,208.169998,35422900
176,2021-03-17,217.839996,231.470001,204.0,209.809998,209.809998,16481600
177,2021-03-18,214.0,218.880005,195.649994,201.75,201.75,11764900
178,2021-03-19,195.729996,227.0,182.660004,200.270004,200.270004,24677300
179,2021-03-22,205.259995,210.360001,186.199997,194.490005,194.490005,10061500
180,2021-03-23,197.5,201.75,177.550003,181.75,181.75,14429100
181,2021-03-24,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
182,2021-03-25,123.489998,187.5,116.900002,183.75,183.75,50962300
183,2021-03-26,197.679993,218.929993,163.259995,181.0,181.0,37430700
184,2021-03-29,180.75,193.919998,173.509995,181.300003,181.300003,10042200
185,2021-03-30,187.5,204.300003,182.0,194.460007,194.460007,17094900
186,2021-03-31,197.5,199.460007,187.110001,189.820007,189.820007,8393800
187,2021-04-01,193.360001,196.970001,183.600006,191.449997,191.449997,9334300
188,2021-04-05,171.0,195.0,164.809998,186.949997,186.949997,14070500
189,2021-04-06,185.210007,192.0,183.559998,184.5,184.5,6218300
190,2021-04-07,183.220001,184.5,176.110001,177.970001,177.970001,4768300
191,2021-04-08,185.880005,185.880005,164.300003,170.259995,170.259995,10047400
192,2021-04-09,169.699997,171.580002,153.0,158.360001,158.360001,9462400
193,2021-04-12,158.110001,163.899994,135.009995,141.089996,141.089996,16683600
194,2021-04-13,141.880005,145.380005,132.0,140.990005,140.990005,6806900
195,2021-04-14,143.570007,174.089996,143.0,166.529999,166.529999,21138100
196,2021-04-15,163.0,166.25,152.800003,156.440002,156.440002,7856800
197,2021-04-16,156.0,160.199997,151.25,154.690002,154.690002,5214700
198,2021-04-19,171.800003,175.199997,162.330002,164.369995,164.369995,10520200
199,2021-04-20,164.139999,164.889999,153.360001,158.529999,158.529999,4658600
200,2021-04-21,158.399994,162.979996,155.919998,158.509995,158.509995,3812800
201,2021-04-22,159.100006,159.100006,146.860001,151.169998,151.169998,4345800
202,2021-04-23,149.0,153.660004,144.699997,151.179993,151.179993,4029100
203,2021-04-26,150.979996,174.679993,148.759995,168.929993,168.929993,10532100
204,2021-04-27,183.550003,188.0,173.169998,177.770004,177.770004,8932700
205,2021-04-28,172.100006,181.979996,166.029999,178.580002,178.580002,5788900
206,2021-04-29,176.559998,180.860001,170.75,176.190002,176.190002,3760300
207,2021-04-30,175.0,183.800003,172.699997,173.589996,173.589996,4433600
208,2021-05-03,177.490005,177.490005,159.610001,162.199997,162.199997,5261000
209,2021-05-04,159.0,161.490005,151.800003,160.729996,160.729996,4007500
210,2021-05-05,161.830002,165.5,158.330002,159.479996,159.479996,2805400
211,2021-05-06,160.860001,164.720001,155.600006,161.009995,161.009995,2942800
212,2021-05-07,160.110001,167.410004,157.5,161.110001,161.110001,2934600
213,2021-05-10,161.309998,161.589996,143.0,143.220001,143.220001,4806700
214,2021-05-11,137.0,150.5,136.5,146.919998,146.919998,4684600
215,2021-05-12,145.699997,150.5,142.229996,144.789993,144.789993,2731500
